"id","thomas_id","api_uri","first_name","middle_name","last_name","party","twitter_account","facebook_account","facebook_id","url","rss_url","domain","dw_nominate","ideal_point","seniority","next_election","state","district","missed_votes_pct","votes_with_party_pct","chamber"
"C001059","1774","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001059.json","Jim",NA,"Costa","D","RepJimCosta","RepJimCosta","","http://costa.house.gov","http://costa.house.gov/index.php?format=feed&amp;type=rss","costa.house.gov","","","12","2014","CA","16","6.67","69.05","house"
"C001061","1790","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001061.json","Emanuel",NA,"Cleaver II","D","RepCleaver","emanuelcleaverii","7954512692","http://cleaver.house.gov","http://cleaver.house.gov/rss.xml","cleaver.house.gov","","","12","2014","MO","5","18.87","95.35","house"
"C001062","1805","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001062.json","K.","Michael","Conaway","R","ConawayTX11","mike.conaway","203482063021985","http://conaway.house.gov","","conaway.house.gov","","","12","2014","TX","11","0.00","94.34","house"
"C001063","1807","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001063.json","Henry",NA,"Cuellar","D","RepCuellar","152569121550","152569121550","http://cuellar.house.gov","http://cuellar.house.gov/news/rss.aspx","cuellar.house.gov","","","12","2014","TX","28","5.66","72.00","house"
"C001066","1839","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001066.json","Kathy",NA,"Castor","D","USRepKCastor","USRepKathyCastor","","http://castor.house.gov","http://castor.house.gov/News/Rss.aspx","castor.house.gov","","","10","2014","FL","14","0.00","92.45","house"
"C001067","1864","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001067.json","Yvette","D.","Clarke","D","YvetteClarke","repyvettedclarke","135031389892682","http://clarke.house.gov","http://clarke.house.gov/rss.xml","clarke.house.gov","","","10","2014","NY","9","3.77","96.08","house"
"C001068","1878","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001068.json","Steve",NA,"Cohen","D","RepCohen","CongressmanSteveCohen","111456965545421","http://cohen.house.gov","http://cohen.house.gov/rss.xml","cohen.house.gov","","","10","2014","TN","9","5.66","90.00","house"
"C001069","1836","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001069.json","Joe",NA,"Courtney","D","RepJoeCourtney","joecourtney","330408799230","http://courtney.house.gov","http://courtney.house.gov/rss/press-releases.xml","courtney.house.gov","","","10","2014","CT","2","0.00","96.23","house"
"C001072","1889","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001072.json","André",NA,"Carson","D","RepAndreCarson","CongressmanAndreCarson","123884330964019","http://carson.house.gov","http://carson.house.gov/rss.xml","carson.house.gov","","","10","2014","IN","7","0.00","96.23","house"
"C001076","1956","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001076.json","Jason",NA,"Chaffetz","R","JasonInTheHouse","CongressmanJasonChaffetz","","http://chaffetz.house.gov","http://chaffetz.house.gov/rss.xml","chaffetz.house.gov","","","8","2014","UT","3","0.00","92.45","house"
"C001077","1912","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001077.json","Mike",NA,"Coffman","R","RepMikeCoffman","repmikecoffman","366142384492","http://coffman.house.gov","http://coffman.house.gov/rss.xml","coffman.house.gov","","","8","2014","CO","6","0.00","90.57","house"
"C001078","1959","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001078.json","Gerald","E.","Connolly","D","GerryConnolly","CongressmanGerryConnolly","177164035838","http://connolly.house.gov","http://connolly.house.gov/common/rss//index.cfm?rss=44","connolly.house.gov","","","8","2014","VA","11","0.00","84.91","house"
"C001080","1970","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001080.json","Judy",NA,"Chu","D","RepJudyChu","RepJudyChu","41228315130","http://chu.house.gov","http://chu.house.gov/rss.xml","chu.house.gov","","","10","2014","CA","27","5.66","96.00","house"
"C001083","1999","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001083.json","John",NA,"Carney","D","JohnCarneyde","JohnCarneyDE","156024857781159","http://johncarney.house.gov","http://johncarney.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw","johncarney.house.gov","","","6","2014","DE","1","9.43","87.50","house"
"C001084","2055","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001084.json","David",NA,"Cicilline","D","RepCicilline","CongressmanDavidCicilline","186949061341027","http://cicilline.house.gov","http://cicilline.house.gov/rss.xml","cicilline.house.gov","","","6","2014","RI","1","3.85","98.00","house"
"C001087","1989","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001087.json","Rick",NA,"Crawford","R","RepRickCrawford","RepRickCrawford","143344975723788","http://crawford.house.gov","http://crawford.house.gov/news/rss.aspx","crawford.house.gov","","","6","2014","AR","1","1.89","96.15","house"
"C001090","2159","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001090.json","Matt",NA,"Cartwright","D","RepCartwright","CongressmanMattCartwright","248507065275406","http://cartwright.house.gov","http://cartwright.house.gov/rss.xml","cartwright.house.gov","","","4","2014","PA","17","1.89","92.31","house"
"C001091","2163","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001091.json","Joaquin",NA,"Castro","D","JoaquinCastrotx","326420614138023","326420614138023","http://castro.house.gov","http://castro.house.gov/rss.xml","castro.house.gov","","","4","2014","TX","20","0.00","94.34","house"
"C001092","2151","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001092.json","Chris",NA,"Collins","R","RepChrisCollins","RepChrisCollins","467047586692268","http://chriscollins.house.gov","http://chriscollins.house.gov/rss.xml","chriscollins.house.gov","","","4","2014","NY","27","0.00","96.23","house"
"C001093","2121","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001093.json","Doug",NA,"Collins","R","RepDougCollins","RepresentativeDougCollins","505646972800006","http://dougcollins.house.gov","http://dougcollins.house.gov/rss/press-releases.xml","dougcollins.house.gov","","","4","2014","GA","9","1.89","90.38","house"
"C001094","2103","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001094.json","Paul",NA,"Cook","R","RepPaulCook","RepPaulCook","464458413604093","http://cook.house.gov","http://cook.house.gov/rss.xml","cook.house.gov","","","4","2014","CA","8","0.00","96.23","house"
"C001096","2144","http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/C001096.json","Kevin",NA,"Cramer","R","RepKevinCramer","CongressmanKevinCramer","498751820147706","http://cramer.house.gov","http://cramer.house.gov/rss.xml","cramer.house.gov","","","4","2014","ND","1","0.00","96.23","house"
